Machine_ID,Variable,Model,ARIMA_Order,Seasonal_Order,AIC,BIC,MSE,n_obs
15,Production_Speed_units_per_hr,ARIMA,"(0, 1, 1)",,25435.822056469297,25447.049693838915,16564.177436645354,2027
15,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",24891.084090335728,24913.439409848957,17541.737615710455,2027
15,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 12)",25161.500271532022,25183.90388137019,17144.23333296825,2027
15,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 7)",25283.408898991413,25305.832458995625,16963.527753272534,2027
15,Predictive_Maintenance_Score,ARIMA,"(3, 0, 2)",,729.9142066880711,769.214391713235,0.08335387869011027,2027
15,Predictive_Maintenance_Score,SARIMA,"(3, 0, 2)","(1, 1, 1, 24)",833.3882940029164,878.0989330293789,0.09679671866097593,2027
15,Predictive_Maintenance_Score,SARIMA,"(3, 0, 2)","(1, 1, 1, 12)",794.0940461138335,838.9012657901702,0.08832137440278603,2027
15,Predictive_Maintenance_Score,SARIMA,"(3, 0, 2)","(1, 1, 1, 7)",767.270801138583,812.117921147008,0.08648116498012504,2027
15,Efficiency_Status,ARIMA,"(0, 0, 0)",,2595.9273015371095,2607.1559258300135,0.21030931952503024,2027
15,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",2635.2708036315835,2652.0403281681315,0.24620935294592636,2027
15,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",2608.8041957330124,2625.6099016126377,0.23299633358571148,2027
15,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",2607.8653589727137,2624.6860125663725,0.22510942390898708,2027
15,Quality_Control_Defect_Rate_%,ARIMA,"(0, 0, 0)",,10053.18862287423,10064.417247167134,8.329377773702578,2027
15,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9897.014889046402,9913.784413582951,9.151114245117974,2027
15,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",9977.006268951629,9993.811974831255,8.692597041285078,2027
15,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",10014.64969092963,10031.470344523288,8.584345190491177,2027
15,Error_Rate_%,ARIMA,"(0, 0, 0)",,11741.19586929642,11752.424493589324,19.15473802486268,2027
15,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",11542.902140743256,11559.671665279804,20.821378151773082,2027
