Machine_ID,Variable,Best_Model,ARIMA_Order,Seasonal_Order,AIC,BIC,MSE,n_obs
27,Error_Rate_%,SARIMA,"(2, 1, 3)","(1, 1, 1, 24)",11073.183958327709,11117.597656050519,20.211697508060002,1957
28,Production_Speed_units_per_hr,SARIMA,"(2, 1, 3)","(1, 1, 1, 12)",25405.956640919874,25450.839501866376,17427.341074361473,2048
28,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,769.8531017293092,781.102339701628,0.08510024561898438,2048
28,Efficiency_Status,ARIMA,"(0, 0, 0)",,2384.601096827567,2395.850334799886,0.18721938135749172,2048
28,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 3)","(1, 1, 1, 24)",9995.736119704467,10040.527323359438,9.106060204474073,2048
28,Error_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",11597.446292153118,11647.83639626496,22.277367688610866,2048
26,Production_Speed_units_per_hr,SARIMA,"(2, 0, 3)","(1, 1, 1, 24)",25416.517828389966,25461.352999180337,21174.35311977893,2059
26,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,654.6238616242722,665.8838130383277,0.08030793486225161,2059
26,Efficiency_Status,ARIMA,"(0, 0, 0)",,2543.636002667178,2554.895954081234,0.2010010187817756,2059
26,Quality_Control_Defect_Rate_%,SARIMA,"(1, 1, 2)","(1, 1, 1, 24)",9961.212242881062,9994.83862097384,8.574785534832147,2059
26,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",11665.863406219109,11682.681076222269,20.235626804130746,2059
