Machine_ID,Variable,Model,ARIMA_Order,Seasonal_Order,AIC,BIC,MSE,n_obs
39,Production_Speed_units_per_hr,ARIMA,"(2, 1, 3)",,25036.539636629717,25070.121003258584,16845.4441605495,1993
39,Production_Speed_units_per_hr,SARIMA,"(2, 1, 3)","(1, 1, 1, 24)",24602.039293812028,24646.602839828487,20455.65306329417,1993
39,Production_Speed_units_per_hr,SARIMA,"(2, 1, 3)","(1, 1, 1, 12)",24757.4868864304,24802.148794341716,17645.183791054355,1993
39,Production_Speed_units_per_hr,SARIMA,"(2, 1, 3)","(1, 1, 1, 7)",25057.991076836937,25102.693614596883,18205.26299540996,1993
39,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,734.5410707416436,745.7358633820692,0.08447297701028009,1993
39,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",813.3759663513856,830.0934753064467,0.0914857514896685,1993
39,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",780.2804230789294,797.034742311766,0.08786476333901802,1993
39,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",763.4429194760467,780.2124440125946,0.0866868282985788,1993
39,Efficiency_Status,ARIMA,"(0, 0, 0)",,2476.725280748822,2487.9200733892476,0.20246829787335185,1993
39,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",2516.6711578070876,2533.3886667621487,0.23227990262565537,1993
39,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",2496.698798928922,2513.4531181617585,0.2145548183646739,1993
39,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",2495.6898110992165,2512.4593356357645,0.2113137955841946,1993
39,Quality_Control_Defect_Rate_%,ARIMA,"(0, 0, 0)",,9938.193620522728,9949.388413163155,8.556281087312309,1993
39,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9795.068930183159,9811.78643913822,9.47752039642611,1993
39,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",9873.249300649564,9890.0036198824,9.032179853252027,1993
39,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",9901.918260101946,9918.687784638494,8.866670915919835,1993
39,Error_Rate_%,ARIMA,"(2, 0, 2)",,11431.151498648625,11464.735876569903,18.025067895452366,1993
39,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",11234.790165982075,11273.790481524033,20.36998964325832,1993
39,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 12)",11342.432289355218,11381.518583460167,19.320042338058236,1993
39,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 7)",11378.493167317987,11417.614976466142,19.090529980500214,1993
36,Production_Speed_units_per_hr,ARIMA,"(0, 1, 1)",,26149.38765144211,26160.671740247857,16474.951296393825,2085
