Machine_ID,Model,RMSE,MAPE,loss,mae,val_loss,val_mae,learning_rate
1,LSTM,0.2791201751599288,2.521891146074272,0.08098084479570389,0.2448224574327469,0.07823781669139862,0.24123366177082062,6.25e-05
1,GRU,0.28071308775083337,2.528795736096817,0.08080416917800903,0.243841752409935,0.07919575273990631,0.2423369288444519,0.00025
1,TCN,0.31768018025382777,2.6960475026739616,0.031426046043634415,0.1424476057291031,0.11481329053640366,0.2841391861438751,0.00025
2,LSTM,0.28696565588930206,2.2103489999693675,0.08196323364973068,0.24786922335624695,0.0835452675819397,0.25437894463539124,0.00025
2,GRU,0.28715120362861907,2.1579282373724773,0.07693953812122345,0.23843702673912048,0.08414055407047272,0.25488272309303284,0.000125
2,TCN,0.3029683283797309,2.3059731580565264,0.00627268198877573,0.06162962689995766,0.11084775626659393,0.27391135692596436,0.00025
3,LSTM,0.2943369416736196,2.1053921867603433,0.07901085913181305,0.24321682751178741,0.08731430768966675,0.2612125873565674,0.00025
3,GRU,0.2949772157648054,2.0748156697870637,0.07785777002573013,0.241204634308815,0.08755768835544586,0.2617083191871643,0.000125
3,TCN,0.3445981157272709,2.247625399501273,0.024376967921853065,0.12750244140625,0.12829092144966125,0.2998979091644287,0.00025
4,LSTM,0.2888068342449574,2.3347678923578674,0.08359618484973907,0.2500838041305542,0.08398613333702087,0.2515743374824524,0.00025
4,GRU,0.2896752049888068,2.359796571253455,0.0823025032877922,0.24797853827476501,0.08438482880592346,0.2523420751094818,6.25e-05
4,TCN,0.32620044087236083,2.312088713175228,0.011919881217181683,0.0851311981678009,0.12245287001132965,0.2920885384082794,0.00025
5,LSTM,0.29571950460296603,3.415508846864675,0.08762292563915253,0.2582426965236664,0.08809376507997513,0.2619186341762543,0.00025
5,GRU,0.2966408809240445,3.3529974390547372,0.08667092025279999,0.25666725635528564,0.08886533230543137,0.26249951124191284,0.00025
5,TCN,0.35145520696120053,3.352656674017871,0.031501367688179016,0.14391367137432098,0.1361076682806015,0.3062618374824524,0.00025
6,LSTM,0.2942141674349133,4.672699599711271,0.08246438950300217,0.24753543734550476,0.08754654228687286,0.25598832964897156,0.000125
6,GRU,0.2947943366046302,4.7398217562721765,0.0816313773393631,0.24664247035980225,0.08849328011274338,0.2570698857307434,0.00025
6,TCN,0.33938195947709343,4.568593253128207,0.02356657199561596,0.12311215698719025,0.12808315455913544,0.2978542447090149,0.00025
7,LSTM,0.2987524336505548,2.5147588902556244,0.082921601831913,0.25113728642463684,0.08954089134931564,0.26287004351615906,6.25e-05
7,GRU,0.2995968870566339,2.5446037652647173,0.08286440372467041,0.2507994472980499,0.09039197862148285,0.2638641893863678,0.000125
7,TCN,0.31642486803444103,2.5959779927683364,0.03353666141629219,0.14910399913787842,0.11058849841356277,0.2814966142177582,0.00025
8,LSTM,0.29472377045896453,3.7185065868027243,0.08886490762233734,0.2581302225589752,0.08766186982393265,0.25316911935806274,0.00025
8,GRU,0.29365874557322874,3.8196179454454358,0.0876787006855011,0.25613150000572205,0.08788841217756271,0.2538066506385803,0.00025
8,TCN,0.35178898982761714,3.9175407726196143,0.010974421165883541,0.08253397047519684,0.1475624144077301,0.31747204065322876,0.00025
9,LSTM,0.2922232889373042,3.4218847689665606,0.08113763481378555,0.2447516918182373,0.0868157297372818,0.25525522232055664,0.00025
9,GRU,0.2935921572619325,3.4916926095174743,0.08076883852481842,0.2427929788827896,0.08711797744035721,0.25558650493621826,0.00025
9,TCN,0.32044478918660424,3.8463069047770637,0.014513246715068817,0.09455481171607971,0.11344753950834274,0.2775249481201172,0.00025
10,LSTM,0.28498589588981443,3.411970717921982,0.08210030943155289,0.2472659796476364,0.08140314370393753,0.24464279413223267,1.5625e-05
