Machine_ID,Variable,Model,ARIMA_Order,Seasonal_Order,AIC,BIC,MSE,n_obs
44,Error_Rate_%,SARIMA,"(2, 0, 0)","(1, 1, 1, 7)",11837.05802631988,11865.156647388794,19.698117656900585,2054
49,Production_Speed_units_per_hr,ARIMA,"(0, 1, 3)",,24554.247182358027,24576.547469156056,17261.215173635894,1950
49,Production_Speed_units_per_hr,SARIMA,"(0, 1, 3)","(1, 1, 1, 24)",23992.212102348385,24025.500276167997,18540.31484239232,1950
49,Production_Speed_units_per_hr,SARIMA,"(0, 1, 3)","(1, 1, 1, 12)",24267.03051108821,24300.394118064825,18016.51745071868,1950
49,Production_Speed_units_per_hr,SARIMA,"(0, 1, 3)","(1, 1, 1, 7)",24369.686552473937,24403.08131216851,17720.838271779554,1950
49,Predictive_Maintenance_Score,ARIMA,"(2, 0, 3)",,604.4646569907392,643.4937495516438,0.07926022056068,1950
49,Predictive_Maintenance_Score,SARIMA,"(2, 0, 3)","(1, 1, 1, 24)",670.8018772514458,715.1903250848048,0.0879801022861762,1950
49,Predictive_Maintenance_Score,SARIMA,"(2, 0, 3)","(1, 1, 1, 12)",663.012707215803,707.5016799320449,0.0883089685161859,1950
49,Predictive_Maintenance_Score,SARIMA,"(2, 0, 3)","(1, 1, 1, 7)",723.7294419347824,768.2599300529621,0.0864248722418416,1950
49,Efficiency_Status,ARIMA,"(3, 0, 2)",,2304.555483530557,2343.5845760914613,0.1895261433184383,1950
49,Efficiency_Status,SARIMA,"(3, 0, 2)","(1, 1, 1, 24)",2333.1681487593924,2377.56081044589,0.2165972791979496,1950
49,Efficiency_Status,SARIMA,"(3, 0, 2)","(1, 1, 1, 12)",2324.4366484943257,2368.929782459036,0.2054796438177596,1950
49,Efficiency_Status,SARIMA,"(3, 0, 2)","(1, 1, 1, 7)",2316.739546374168,2361.274174207834,0.2026665304348545,1950
49,Quality_Control_Defect_Rate_%,ARIMA,"(3, 0, 3)",,9588.229970928054,9632.834648140515,7.932663339169002,1950
49,Quality_Control_Defect_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",9420.624303601951,9470.56130741448,9.218183057473578,1950
49,Quality_Control_Defect_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 12)",9508.506727259744,9558.556821565517,8.42848082104642,1950
49,Quality_Control_Defect_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 7)",9536.5361339934,9586.632933126351,8.233997243458985,1950
49,Error_Rate_%,ARIMA,"(2, 0, 2)",,11291.649157550402,11325.10266545975,19.040071927147302,1950
49,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",11099.882292466058,11138.725871441744,20.751193218313325,1950
49,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 12)",11197.147235812146,11236.078728031269,20.32545746145457,1950
49,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 7)",11232.279417250924,11271.247216605385,19.759898348457952,1950
42,Production_Speed_units_per_hr,ARIMA,"(0, 1, 3)",,25412.97828578855,25435.417734592207,17183.769346588055,2019
42,Production_Speed_units_per_hr,SARIMA,"(0, 1, 3)","(1, 1, 1, 24)",24863.76292478064,24897.26546258488,18465.51895753986,2019
42,Production_Speed_units_per_hr,SARIMA,"(0, 1, 3)","(1, 1, 1, 12)",25121.902932597004,25155.478272103315,18093.431323004705,2019
42,Production_Speed_units_per_hr,SARIMA,"(0, 1, 3)","(1, 1, 1, 7)",25230.83133531023,25264.436750067485,17724.928842857495,2019
42,Predictive_Maintenance_Score,ARIMA,"(2, 0, 2)",,646.1703298681495,679.8324755780264,0.080157001289536,2019
42,Predictive_Maintenance_Score,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",725.1309925435736,764.224404086859,0.0982319353275342,2019
42,Predictive_Maintenance_Score,SARIMA,"(2, 0, 2)","(1, 1, 1, 12)",696.1657369449754,735.3439980119872,0.0899929026425552,2019
42,Predictive_Maintenance_Score,SARIMA,"(2, 0, 2)","(1, 1, 1, 7)",677.9865610723323,717.1998747914585,0.0852313317183585,2019
42,Efficiency_Status,ARIMA,"(1, 0, 0)",,2370.8371560452933,2387.668228900232,0.1888907594319721,2019
42,Efficiency_Status,SARIMA,"(1, 0, 0)","(1, 1, 1, 24)",2400.7503183409626,2423.093473627891,0.2227223616504978,2019
42,Efficiency_Status,SARIMA,"(1, 0, 0)","(1, 1, 1, 12)",2392.274127185011,2414.665718987098,0.2035286256674587,2019
42,Efficiency_Status,SARIMA,"(1, 0, 0)","(1, 1, 1, 7)",2384.892395892747,2407.303997741566,0.1970464389447496,2019
42,Quality_Control_Defect_Rate_%,ARIMA,"(0, 0, 0)",,10013.774311878366,10024.995027114992,8.330396898567361,2019
42,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9864.435387450732,9881.192753915928,9.219071861625284,2019
42,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",9952.5028929179,9969.296586769464,8.791029432528928,2019
42,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",9984.761464557623,10001.570165944238,8.581855165013415,2019
42,Error_Rate_%,ARIMA,"(3, 0, 2)",,11630.9884309595,11670.26093428769,18.46580161304764,2019
42,Error_Rate_%,SARIMA,"(3, 0, 2)","(1, 1, 1, 24)",11448.374882761294,11493.053067382192,21.70130045015888,2019
42,Error_Rate_%,SARIMA,"(3, 0, 2)","(1, 1, 1, 12)",11546.550417843497,11591.325573348651,20.224088782931886,2019
42,Error_Rate_%,SARIMA,"(3, 0, 2)","(1, 1, 1, 7)",11577.409663335398,11622.2248790144,19.12163536137396,2019
47,Production_Speed_units_per_hr,ARIMA,"(0, 1, 1)",,25190.23367121589,25201.43547613497,17332.61489129678,2001
47,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",24671.73105960248,24694.03339820871,18807.480937025797,2001
47,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 12)",24934.05708413155,24956.408353011524,18116.84904010584,2001
47,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 7)",25029.631282205977,25052.002763357355,17701.579213594596,2001
47,Predictive_Maintenance_Score,ARIMA,"(2, 0, 3)",,736.6646940031419,775.874510345228,0.084018317005042,2001
47,Predictive_Maintenance_Score,SARIMA,"(2, 0, 3)","(1, 1, 1, 24)",834.0483843719395,878.648957968,0.0937560902685905,2001
47,Predictive_Maintenance_Score,SARIMA,"(2, 0, 3)","(1, 1, 1, 12)",784.7525015456395,829.4509855938204,0.090942844977639,2001
47,Predictive_Maintenance_Score,SARIMA,"(2, 0, 3)","(1, 1, 1, 7)",782.1254707991434,826.8643998273018,0.0889925647381503,2001
47,Efficiency_Status,ARIMA,"(0, 0, 1)",,2208.864687665904,2225.668894669655,0.1760492539603218,2001
47,Efficiency_Status,SARIMA,"(0, 0, 1)","(1, 1, 1, 24)",2271.180734596925,2293.485123959418,0.2068357817449626,2001
47,Efficiency_Status,SARIMA,"(0, 0, 1)","(1, 1, 1, 12)",2240.987361233296,2263.3406559426367,0.1919064765102766,2001
47,Efficiency_Status,SARIMA,"(0, 0, 1)","(1, 1, 1, 7)",2219.437561838749,2241.811058611234,0.186508828921788,2001
