Machine_ID,Model,RMSE,MAE,MAPE,SMAPE,WAPE,R2,loss,mae,val_loss,val_mae,learning_rate,model_file,Window
19,TCN,0.3403108216332495,0.283519560856987,10.968997742931306,65.01261063465789,56.6647427832471,-0.3326247768564774,0.0195057485252618,0.1118012592196464,0.1322340816259384,0.2987329065799713,0.00025,saved_models/model_TCN_machine_19.h5,20
20,LSTM,0.2946265219661249,0.2567862910191441,8.920109668711245,56.498087371089255,48.719416034633134,-0.0097965170426284,0.0827643051743507,0.2492610663175583,0.0870911031961441,0.2586105465888977,0.00025,saved_models/model_LSTM_machine_20.h5,20
20,GRU,0.2945077770734134,0.2573900138301351,8.127767861491362,57.078719666075415,48.83395884251254,-0.0089827137593307,0.0787156820297241,0.2425947189331054,0.0876318141818046,0.2587242722511291,6.25e-05,saved_models/model_GRU_machine_20.h5,20
20,TCN,0.3070616505343208,0.2629308851711577,7.991495484395745,58.4150580120966,49.88521440209196,-0.0968351266568949,0.0377567149698734,0.1597983688116073,0.1106545552611351,0.2794367372989654,0.00025,saved_models/model_TCN_machine_20.h5,20
21,LSTM,0.2931008293386845,0.2548754286041956,1.8575799863780624,58.14617728891637,51.07005835431929,-0.0242226584500093,0.083510473370552,0.251922070980072,0.087141677737236,0.2564947009086609,0.00025,saved_models/model_LSTM_machine_21.h5,20
21,GRU,0.2952013831676678,0.2560687344022384,1.871512396306248,58.39830479234445,51.30916416798809,-0.0389557735502243,0.0813856273889541,0.2484303265810012,0.0873637199401855,0.2562470436096191,3.125e-05,saved_models/model_GRU_machine_21.h5,20
21,TCN,0.3430253843897825,0.2851316170903609,2.012324724230901,63.85943001659344,57.13257022543147,-0.4028550636038057,0.0362731926143169,0.1542457491159439,0.1268322318792343,0.3002817332744598,0.00025,saved_models/model_TCN_machine_21.h5,20
22,LSTM,0.2783668134001177,0.2423499502903361,3.579418194753448,53.4924568904169,47.31804948252503,-0.0024633581594388,0.0834194123744964,0.249674767255783,0.077809028327465,0.2426923811435699,0.00025,saved_models/model_LSTM_machine_22.h5,20
22,GRU,0.2775220219643869,0.2395568801446684,3.5352237191247333,53.08632159434868,46.77271150658349,0.0036119882454133,0.0840418264269828,0.2504876554012298,0.0776534527540206,0.2417174130678177,0.00025,saved_models/model_GRU_machine_22.h5,20
22,TCN,0.2850220559321094,0.2441369207757824,3.596865246923828,53.71269917348817,47.66694973091734,-0.0509705061620961,0.0382721945643425,0.160819262266159,0.1018045544624328,0.2674841284751892,0.00025,saved_models/model_TCN_machine_22.h5,20
23,LSTM,0.2858057888665576,0.2477700357345415,2.253640306745317,55.332572516553135,48.48703969717887,-0.0033537043849529,0.0819930508732795,0.2480177134275436,0.0820083916187286,0.2482553869485855,0.000125,saved_models/model_LSTM_machine_23.h5,20
23,GRU,0.2865972517580614,0.2481449891328168,2.268704581626669,55.29284038583771,48.56041572205965,-0.0089184396209673,0.0821290612220764,0.2483695596456527,0.0832454189658165,0.2500930726528168,0.00025,saved_models/model_GRU_machine_23.h5,20
23,TCN,0.3174850290688696,0.2702248175018775,2.188919797235651,59.76031842160288,52.881299445806434,-0.2381079680480193,0.0168914049863815,0.1025393828749656,0.1215822994709014,0.2910580039024353,0.00025,saved_models/model_TCN_machine_23.h5,20
24,LSTM,0.2951694095757908,0.2581793380856076,6.244608907347749,60.18998103859039,52.08771643082876,-0.0018931900637575,0.0823286771774292,0.24818916618824,0.0886970981955528,0.2603576481342315,0.00025,saved_models/model_LSTM_machine_24.h5,20
24,GRU,0.2964926244640748,0.2593525141647329,6.297282234151752,60.29315669184706,52.32440486370655,-0.0108960980710868,0.0817472115159034,0.246610552072525,0.0908287540078163,0.2625976204872131,0.00025,saved_models/model_GRU_machine_24.h5,20
24,TCN,0.3272008764273927,0.2792883409053893,7.21903151335518,64.85604637266074,56.34646060907036,-0.231140584662592,0.0329080484807491,0.1460981518030166,0.1189922615885734,0.290099024772644,0.00025,saved_models/model_TCN_machine_24.h5,20
25,LSTM,0.2906324250795046,0.250433418386941,3.146015539806589,58.68326646934074,51.558029161561976,-0.0141186837451492,0.0816519036889076,0.2459552437067031,0.0847673863172531,0.2512723803520202,0.000125,saved_models/model_LSTM_machine_25.h5,20
25,GRU,0.2912552734889567,0.2505612198643542,3.1129215530658616,58.81704559870264,51.584340315807296,-0.0184700154229344,0.0809386074542999,0.244643360376358,0.0860769599676132,0.2527980804443359,0.00025,saved_models/model_GRU_machine_25.h5,20
25,TCN,0.3265876831719456,0.2712011951065302,2.9710268198152616,62.3602403497743,55.83359926968148,-0.2805609564909861,0.0182672701776027,0.1085604131221771,0.122933879494667,0.2889873683452606,0.00025,saved_models/model_TCN_machine_25.h5,20
26,LSTM,0.2934220479810748,0.2546758655340249,2.1072443373919514,56.253507530305626,48.68176372884674,-0.009791750900401,0.0852425619959831,0.2533412277698517,0.0868196263909339,0.2567924559116363,6.25e-05,saved_models/model_LSTM_machine_26.h5,20
26,GRU,0.2945067489253334,0.2556152827137887,2.083364082354332,56.50161323665098,48.86133506393256,-0.0172713975465401,0.0844782218337059,0.2523752748966217,0.0876216813921928,0.2571935653686523,0.00025,saved_models/model_GRU_machine_26.h5,20
26,TCN,0.3338231508778499,0.2802542857846838,1.8972987516691464,60.94911383880765,53.57112616838801,-0.3070109758192101,0.0173165332525968,0.1056157797574997,0.1288673728704452,0.2947280406951904,0.00025,saved_models/model_TCN_machine_26.h5,20
27,LSTM,0.2942555730746015,0.2593868086940419,4.094097850403192,57.047640741280325,49.29629170482154,-0.0110149068431688,0.0840874016284942,0.251301497220993,0.0867194905877113,0.2595842778682709,0.00025,saved_models/model_LSTM_machine_27.h5,20
27,GRU,0.2931181702137156,0.2575770575058339,3.9007208174818793,56.99124769232928,48.9523496865816,-0.0032141451582918,0.0762312933802604,0.2364988327026367,0.0867007970809936,0.2568559646606445,0.00025,saved_models/model_GRU_machine_27.h5,20
27,TCN,0.3225021567893652,0.2695500099227617,4.036434783971018,59.6932634955437,51.22780138701488,-0.2144325864370642,0.0348023101687431,0.1530562192201614,0.1094112694263458,0.2723895907402038,0.000125,saved_models/model_TCN_machine_27.h5,20
28,LSTM,0.2826340532993215,0.2450148825217024,3.4221304616792403,54.67337932284616,47.2712974020083,-0.016894415786016,0.0810443684458732,0.2461895793676376,0.080736219882965,0.2467215359210968,0.00025,saved_models/model_LSTM_machine_28.h5,20
