Machine_ID,Model,RMSE,MAE,MAPE,SMAPE,WAPE,R2,loss,mae,val_loss,val_mae,learning_rate,model_file
2,GRU,0.2871220291926229,0.2514019951487534,2.1669594548879716,58.12095070337252,50.92011321668075,0.00725493748836914,0.0788402259349823,0.24167558550834656,0.08323109149932861,0.25277209281921387,0.000125,saved_models/model_GRU_machine_2.h5
2,TCN,0.31006618054114554,0.2658825451891517,2.2136462611906587,60.87311809496789,53.85307024059222,-0.15774657686205518,0.008866868913173676,0.07412109524011612,0.11709309369325638,0.28710803389549255,0.00025,saved_models/model_TCN_machine_2.h5
3,LSTM,0.2944431293568627,0.2604708854574618,2.0748006310026765,59.38008959014821,51.38121669508052,-0.005800186901789628,0.07902154326438904,0.24294701218605042,0.08722527325153351,0.260810911655426,0.00025,saved_models/model_LSTM_machine_3.h5
3,GRU,0.2950827580111576,0.2603352924696455,2.085262982699751,59.32213711192723,51.35446924237736,-0.010174800053342148,0.07632310688495636,0.2381439208984375,0.08741879463195801,0.2609576880931854,3.125e-05,saved_models/model_GRU_machine_3.h5
3,TCN,0.3205080644391925,0.2731747411994086,2.0783419095338727,63.096448912317435,53.88721487446863,-0.19175445844161798,0.01683979667723179,0.10460218787193298,0.11251979321241379,0.28157854080200195,0.00025,saved_models/model_TCN_machine_3.h5
4,LSTM,0.29050017148348334,0.2528808013155701,2.389071584080932,59.34151457923822,51.354073547777865,0.0002892697367969932,0.08280970901250839,0.24893738329410553,0.08492545783519745,0.253741055727005,6.25e-05,saved_models/model_LSTM_machine_4.h5
4,GRU,0.29057400496372293,0.2527553308527439,2.3652733091207496,59.41471751236106,51.32859348229827,-0.00021896750182626157,0.08279438316822052,0.24863675236701965,0.08515330404043198,0.25394076108932495,0.00025,saved_models/model_GRU_machine_4.h5
4,TCN,0.3246249330569615,0.2708608883982742,1.9552528919577798,63.94977552719022,55.005401405159915,-0.24837572053161794,0.02349412627518177,0.12317626178264618,0.11809827387332916,0.28427693247795105,0.00025,saved_models/model_TCN_machine_4.h5
5,LSTM,0.2945019486054278,0.26029969583749335,3.4480301756708545,58.97985152436933,51.177479258473994,0.006634101207134924,0.08826495707035065,0.2591382563114166,0.08844886720180511,0.2625247538089752,0.00025,saved_models/model_LSTM_machine_5.h5
5,GRU,0.2982233013713024,0.2630464767098599,3.1975771976206113,59.69977282250216,51.71752338211705,-0.018629029619346982,0.08607173711061478,0.2559454143047333,0.08975862711668015,0.264024019241333,6.25e-05,saved_models/model_GRU_machine_5.h5
5,TCN,0.34072920975700577,0.2852417599560532,2.812938618702957,64.78145748376467,56.0813342744554,-0.32969376911642123,0.020150521770119667,0.11313112080097198,0.12678852677345276,0.29590100049972534,0.00025,saved_models/model_TCN_machine_5.h5
6,LSTM,0.29430295692886704,0.2548667142818256,3.521833046275488,58.17882312623477,50.04306482900499,-0.004030151371507085,0.0819278359413147,0.24632294476032257,0.08723527193069458,0.25516173243522644,6.25e-05,saved_models/model_LSTM_machine_6.h5
6,GRU,0.2948068656253763,0.2550508004543292,3.5242873770970653,58.20210532741111,50.07921013848834,-0.007471317356877227,0.08113159239292145,0.24543820321559906,0.08866842091083527,0.25663384795188904,0.000125,saved_models/model_GRU_machine_6.h5
6,TCN,0.35449610746179083,0.2908670902755692,3.912016455650949,65.01873776162142,57.111736604368055,-0.45673463295501215,0.01434987410902977,0.0954923927783966,0.13925045728683472,0.3038346469402313,0.00025,saved_models/model_TCN_machine_6.h5
7,LSTM,0.29936298981535675,0.2630295527313963,2.5063036932668306,60.66715710635141,52.039199163905,-0.00981272843919756,0.08343033492565155,0.25212153792381287,0.08997301012277603,0.2638265788555145,6.25e-05,saved_models/model_LSTM_machine_7.h5
7,GRU,0.3011581190495706,0.26457954083175744,2.53088442813491,60.98928050859326,52.34585725087193,-0.02195971700944499,0.08233512938022614,0.2497960478067398,0.09190088510513306,0.2660374939441681,0.00025,saved_models/model_GRU_machine_7.h5
7,TCN,0.36134101366020277,0.2997904741964698,2.6166098920988725,68.98776421132695,59.312180065496634,-0.4712251570655752,0.016448888927698135,0.10183505713939667,0.14727897942066193,0.31519952416419983,0.00025,saved_models/model_TCN_machine_7.h5
8,LSTM,0.29545220628320545,0.2524470786654571,3.793904758725493,57.482048195999404,49.67108131320111,-6.279547249898876e-05,0.08832479268312454,0.25799378752708435,0.0876881331205368,0.2526468336582184,0.00025,saved_models/model_LSTM_machine_8.h5
8,GRU,0.2943103076176176,0.2513376810022973,3.812020811740396,57.2214401637858,49.45279801268998,0.007652588175143582,0.08757299184799194,0.2558723986148834,0.08961272984743118,0.25420600175857544,0.00025,saved_models/model_GRU_machine_8.h5
8,TCN,0.31902547509471524,0.27376034967295826,3.8905451980392542,61.316596654051956,53.86464624910915,-0.1660133538428239,0.028008341789245605,0.1349816769361496,0.12258357554674149,0.2965832054615021,0.00025,saved_models/model_TCN_machine_8.h5
9,LSTM,0.2927245635568799,0.25235489502242503,3.33860768838105,59.29075233205533,51.12416058708267,-0.0104031264686415,0.08052729070186615,0.24348492920398712,0.0865163654088974,0.25400984287261963,0.00025,saved_models/model_LSTM_machine_9.h5
9,GRU,0.29515323547105593,0.25548743026538034,3.582003554328105,59.17430795326231,51.758775718250675,-0.02723886828996336,0.08026536554098129,0.2438448965549469,0.0899454802274704,0.2566077709197998,0.00025,saved_models/model_GRU_machine_9.h5
9,TCN,0.34000508370024324,0.27671380014234237,3.9379748875634415,64.85609048208248,56.05899086634276,-0.3631610496053095,0.014417195692658424,0.09492406249046326,0.12511005997657776,0.2875674366950989,0.00025,saved_models/model_TCN_machine_9.h5
10,LSTM,0.28484400465432674,0.24377386197479767,3.466759012997362,56.010744627586305,48.530199111193255,0.00381283778934971,0.08246497809886932,0.24791601300239563,0.08158465474843979,0.24484406411647797,0.000125,saved_models/model_LSTM_machine_10.h5
10,GRU,0.2858847716671909,0.24433558900025973,3.4623901097024543,55.98598653713335,48.64202703306713,-0.0034802268703750805,0.08233050256967545,0.24778011441230774,0.08212316781282425,0.24542294442653656,0.000125,saved_models/model_GRU_machine_10.h5
10,TCN,0.33282940772231434,0.27575458253253127,3.0795304346668044,62.48586001482963,54.896881428211714,-0.36009786585742964,0.020380543544888496,0.11340038478374481,0.14420701563358307,0.30832165479660034,0.00025,saved_models/model_TCN_machine_10.h5
